N°,Data,ID,Postagem,Emojis da Postagem,PRU/Não-PRU,Tipo,Analise de Sentimento,Artefato
1222,Mon Apr 29 03:18:48 +0000 2019,1122701741441605635,Ola boa noite gente aqui twitter novo 😉❤,😉(1)❤(1),Não-PRU,,,Twitter Web App
1223,Mon Apr 29 02:48:42 +0000 2019,1122694164041347073,E eu que tive que vir pro Twitter saber se a Brienne havia morrido porque eu não enxerguei quase nada. 😂,😂(1),Não-PRU,,,Twitter for Android
1224,Mon Apr 29 02:36:00 +0000 2019,1122690969269407746,Me segue que sigo de volta rapaziada Twitter novo ✌,✌(1),Não-PRU,,,Twitter for Android
1225,Mon Apr 29 02:32:59 +0000 2019,1122690210981122048,Vim aqui no twitter ver os comentários chatos de got 🤭,🤭(1),Não-PRU,,,Twitter for Android
1226,Mon Apr 29 02:30:57 +0000 2019,1122689700479692800,Aviso ⚠️: Meu Twitter ter será interamente dedica a GOT nas próximas horas#GameofThrones,⚠(1),Não-PRU,,,Twitter for iPhone
1227,Mon Apr 29 00:32:50 +0000 2019,1122659974902112257,Twitter novo é uó 🙄,🙄(1),Não-PRU,,,Twitter for Android
1228,Mon Apr 29 00:28:26 +0000 2019,1122658868084072448,Sigam a alicia ela criou um Twitter novo. {User} ❤️,❤(1),Não-PRU,,,Twitter for iPhone
1229,Sun Apr 28 22:29:06 +0000 2019,1122628836443738112,Twitter novo💥,💥(1),Não-PRU,,,Twitter for iPhone
1230,Sun Apr 28 20:29:53 +0000 2019,1122598833324793858,Sobre o Twitter ter modo super escuro 🙌🏼🖤,🙌(1)🖤(1),PRU,Elogio,Positiva,Twitter for iPhone
1231,Sun Apr 28 18:50:12 +0000 2019,1122573748392157185,Twitter novo 😉,😉(1),Não-PRU,,,Twitter for Android
1232,Sun Apr 28 18:17:34 +0000 2019,1122565535189938176,Twitter Novo...😎,😎(1),Não-PRU,,,Twitter for Android
1233,Sun Apr 28 17:51:45 +0000 2019,1122559036895973382,Twitter novo...😴,😴(1),Não-PRU,,,Twitter Web App
1234,Sun Apr 28 17:32:29 +0000 2019,1122554191480860673,"Q ódio namoral, odeio fazer Twitter novo mais alguma Praga ruim q n tem oq fazer foi e bloquiou a porra do meu twitter 😡😡😡😡",😡(4),Não-PRU,,,Twitter for Android
1235,Sun Apr 28 16:42:05 +0000 2019,1122541505372196869,Twitter novo 😒😬,😒(1)😬(1),Não-PRU,,,Twitter Web App
1236,Sun Apr 28 15:39:53 +0000 2019,1122525853462814721,"{User} {User} Com o nome Gui no Twitter poder crer que dá o toba, todo maconheiro dá o toba 🎵",🎵(1),Não-PRU,,,Twitter for iPhone
1237,Sun Apr 28 14:05:27 +0000 2019,1122502086246244352,Quase um ano c essa conta depois do twitter ter bloqueado o outro 🙃,🙃(1),Não-PRU,,,Twitter for Android
1238,Sun Apr 28 05:59:23 +0000 2019,1122379766651412483,"Vou excluir essa conta, Twitter novo  👉 {User}",👉(1),Não-PRU,,,Twitter for Android
1239,Sun Apr 28 05:37:34 +0000 2019,1122374273690218496,Não creio que eu tive que fazer um twitter novo 😓,😓(1),Não-PRU,,,Twitter for Android
1240,Sun Apr 28 05:21:38 +0000 2019,1122370264258568192,Twitter novo é muito ruiiiiim 🙄,🙄(1),Não-PRU,,,Twitter for Android
1241,Sun Apr 28 03:02:32 +0000 2019,1122335259314589696,{User} twitter novo kkkkkkkkk perdi minha conta 😂😂😂👌,😂(3)👌(1),Não-PRU,,,Twitter for Android
1242,Sun Apr 28 02:40:06 +0000 2019,1122329615744348160,"☝️ Twitter novo gente, segue. {User}",☝(1),Não-PRU,,,Twitter Web App
1243,Sun Apr 28 02:31:05 +0000 2019,1122327345577234432,Twitter novo galerinha kkk tive que trocar🤦🏾‍♂️,🤦(1)♂(1),Não-PRU,,,Twitter for iPhone
1244,Sat Apr 27 20:13:25 +0000 2019,1122232302136958977,Muito ruim fazer twitter novo 💔,💔(1),Não-PRU,,,Twitter for Android
1245,Sat Apr 27 19:27:38 +0000 2019,1122220780471951361,Michelle diz não tá triste aí vem aqui no Twitter dizer : Ain Tô Triste 😒 Dá Ate uma Raiva Pq Na fala oq Tá acontecendo!!,😒(1),Não-PRU,,,Twitter Web App
1246,Sat Apr 27 19:06:00 +0000 2019,1122215334235262978,"Twitter novo e uma bosta, tem nadaaaa 🙄",🙄(1),Não-PRU,,,Twitter for Android
1247,Sat Apr 27 17:43:00 +0000 2019,1122194447318573057,twitter novo é o errooo 🙄,🙄(1),Não-PRU,,,Twitter Web App
1248,Sat Apr 27 14:52:46 +0000 2019,1122151609700581378,Twitter novo 🙃🙃,🙃(2),Não-PRU,,,Twitter for iPhone
1249,Sat Apr 27 13:39:29 +0000 2019,1122133164762251267,Twitter novo e sempre ruim 💔,💔(1),Não-PRU,,,Twitter for Android
1250,Sat Apr 27 13:27:32 +0000 2019,1122130156326408192,Muito estranho usar Twitter novo mané 🤧,🤧(1),Não-PRU,,,Twitter for Android
1251,Sat Apr 27 11:33:11 +0000 2019,1122101381945597953,{User} Aí vagal me segui aí twitter novo perdi o outro 😂😂😂✌️❤️,😂(3)✌(1)❤(1),Não-PRU,,,Twitter for Android
1252,Sat Apr 27 11:27:25 +0000 2019,1122099929462247425,a parte ruim de fazer Twitter novo é ter que seguir todo mundo novamente 🤦🏻‍♂️ pqp,🤦(1)♂(1),PRU,Crítica,Negativa,Twitter for iPhone
1253,Sat Apr 27 09:55:10 +0000 2019,1122076712475480066,Twitter novo esqueci a senha do outro 😂😂😂😂😂❤️❤️❤️,😂(5)❤(3),Não-PRU,,,Twitter for Android
1254,Sat Apr 27 07:29:33 +0000 2019,1122040070532472832,Twitter novo rapaziada! Muita fé 🙌✌️🥋,🙌(1)✌(1)🥋(1),Não-PRU,,,Twitter for Android
1255,Sat Apr 27 07:27:18 +0000 2019,1122039503567433728,Twitter novo pq o antigo já era😞,😞(1),Não-PRU,,,Twitter for Android
1256,Sat Apr 27 04:13:10 +0000 2019,1121990648406642688,eh o seguinte meu amor ou vc me fala seu arroba ou eu vou te obrigar a fazer um twitter novo 😡,😡(1),Não-PRU,,,Twitter for Android
1257,Sat Apr 27 03:55:42 +0000 2019,1121986250230128640,Twitter novo ✌️,✌(1),Não-PRU,,,Twitter for Android
1258,Sat Apr 27 02:43:30 +0000 2019,1121968080886824961,"Tisão é foda , toda dia ele faz um twitter novo 😂",😂(1),Não-PRU,,,Twitter for Android
1259,Fri Apr 26 22:30:12 +0000 2019,1121904334843805698,Twitter novo galera🍃,🍃(1),Não-PRU,,,Twitter for Android
1260,Fri Apr 26 22:29:56 +0000 2019,1121904271472066560,Twitter Novo!!!😎,😎(1),Não-PRU,,,Twitter for Android
1261,Fri Apr 26 22:08:02 +0000 2019,1121898756734103553,Estamos com nosso twitter novo e estaremos atualizando. {User} 🍝,🍝(1),Não-PRU,,,Twitter for Android
1262,Fri Apr 26 17:43:50 +0000 2019,1121832269847642113,Twitter novo 😁,😁(1),Não-PRU,,,Twitter for Android
1263,Fri Apr 26 17:41:00 +0000 2019,1121831556664963072,Hashtag Andradina curta importem aí segue lá na minha página do Twitter página de 😎📸 {URL},😎(1)📸(1),Não-PRU,,,Twitter Web App
1264,Fri Apr 26 17:22:38 +0000 2019,1121826933032067075,"Twitter novo, pq novamente perdi o outro 🙄",🙄(1),Não-PRU,,,Twitter for Android
1265,Fri Apr 26 17:04:24 +0000 2019,1121822347613429761,Olá  twitter Novo heim 🙌🙏,🙌(1)🙏(1),Não-PRU,,,Twitter for Android
1266,Fri Apr 26 16:58:11 +0000 2019,1121820783075037184,Twitter novo bb ✅😂🙆🏻,✅(1)😂(1)🙆(1),Não-PRU,,,Twitter for iPhone
1267,Fri Apr 26 15:05:52 +0000 2019,1121792514606845952,Horrível ter q fazer twitter novo 😤,😤(1),Não-PRU,,,Twitter for Android
1268,Fri Apr 26 12:58:32 +0000 2019,1121760472934617089,"{User} {User} Mano é seu irmão, certeza!! Add aí Meu twitter novo pq eu perdi o {User} 😭",😭(1),Não-PRU,,,Twitter for Android
1269,Fri Apr 26 11:46:38 +0000 2019,1121742376198922240,Twitter novo perdi o outro 😏,😏(1),Não-PRU,,,Twitter for Android
1270,Fri Apr 26 03:44:54 +0000 2019,1121621145420062720,{User} Twitter novo☺️,☺(1),Não-PRU,,,Twitter for iPhone
1271,Fri Apr 26 02:48:33 +0000 2019,1121606962670637056,Twitter novo galera ✌,✌(1),Não-PRU,,,Twitter for Android
1272,Fri Apr 26 02:22:46 +0000 2019,1121600476405956610,Twitter novo 😎,😎(1),Não-PRU,,,Twitter for Android
1273,Fri Apr 26 02:15:23 +0000 2019,1121598620103577602,Twitter novo é tão chato 🙄,🙄(1),Não-PRU,,,Twitter for iPhone
1274,Fri Apr 26 02:02:51 +0000 2019,1121595464372060161,{User} Twitter novo 🕊,🕊(1),Não-PRU,,,Twitter for Android
1275,Fri Apr 26 01:37:44 +0000 2019,1121589143836995584,TWITTER NOVO MOÇADA SEGUE AE PQ SE DEUS QUISER O MEU VOLTA AO NORMAL 🤘🏼🤩,🤘(1)🤩(1),Não-PRU,,,Twitter for iPhone
1276,Fri Apr 26 01:37:16 +0000 2019,1121589025691848704,"Twitter novo, perdi a conta do outro!! 😑",😑(1),Não-PRU,,,Twitter for Android
1277,Fri Apr 26 00:08:15 +0000 2019,1121566625789042688,Twitter novo 🤦‍♀️🙄,🤦(1)♀(1)🙄(1),Não-PRU,,,Twitter for Android
1278,Thu Apr 25 23:38:11 +0000 2019,1121559056508960769,{User} kkkkkkkk que otaria teve que criar um twitter novo 😂😄🐸,😂(1)😄(1)🐸(1),Não-PRU,,,Twitter for Android
1279,Thu Apr 25 23:08:22 +0000 2019,1121551555336056833,Twitter novo pra salvar user 🙏🏼,🙏(1),Não-PRU,,,Twitter for iPhone
1280,Thu Apr 25 21:58:58 +0000 2019,1121534089432043522,Criando um twitter novo por motivos de:- criei meu twitter antigo com 13 anos 🙃- preciso me preservar,🙃(1),Não-PRU,,,Twitter for iPhone
1281,Thu Apr 25 21:45:25 +0000 2019,1121530677697105921,Twitter Novo 😎🤑,😎(1)🤑(1),Não-PRU,,,Twitter for Android
1282,Thu Apr 25 21:22:00 +0000 2019,1121524783798157314,"Galera, fiz um twitter novo porque o meu antigo foi bloqueado, tô tentando seguir todos que eu seguia antes 🙏",🙏(1),Não-PRU,,,Twitter Web App
1283,Thu Apr 25 21:07:21 +0000 2019,1121521099232227328,"Hello,twitter novo😘 {URL}",😘(1),Não-PRU,,,Twitter for Android
1284,Thu Apr 25 20:56:05 +0000 2019,1121518262783815681,{User} {User} Aparece no Twitter novo das Modalidades Boa estreia  🤷🏻‍♀️,🤷(1)♀(1),Não-PRU,,,Twitter for Android
1285,Thu Apr 25 19:49:58 +0000 2019,1121501624931880960,Twitter novo segui ai 🤑🌓,🤑(1)🌓(1),Não-PRU,,,Twitter for Android
1286,Thu Apr 25 18:19:12 +0000 2019,1121478781733081088,Twitter novo e ruinzão 🤔💭,🤔(1)💭(1),Não-PRU,,,Twitter for Android
1287,Thu Apr 25 15:52:43 +0000 2019,1121441919639408642,{User} Minha nenequinha com twitter novo 😍😍😍😍😍😍,😍(6),Não-PRU,,,Twitter Web App
1288,Thu Apr 25 15:44:10 +0000 2019,1121439765822308352,Twitter novo me seguem 😊,😊(1),Não-PRU,,,Twitter for Android
1289,Thu Apr 25 14:12:50 +0000 2019,1121416783297167362,Criei esse twitter novo pq hackearam o outro 🙄🙄🙄,🙄(3),Não-PRU,,,Twitter for Android
1290,Thu Apr 25 13:26:37 +0000 2019,1121405150965448706,Twitter novo 😊🥋,😊(1)🥋(1),Não-PRU,,,Twitter for Android
1291,Thu Apr 25 12:26:10 +0000 2019,1121389940179447809,"Twitter novo , pelo , zeroo !!!  🤗🙃",🤗(1)🙃(1),Não-PRU,,,Twitter for iPhone
1292,Thu Apr 25 03:14:21 +0000 2019,1121251069416415233,Twitter novo✌🏽,✌(1),Não-PRU,,,Twitter for Android
1293,Thu Apr 25 03:14:12 +0000 2019,1121251033743810560,Twitter novo 👀,👀(1),Não-PRU,,,Twitter for Android
1294,Thu Apr 25 02:03:17 +0000 2019,1121233185650749440,"Twitter novo, exclui o outro 😘",😘(1),Não-PRU,,,Twitter for Android
1295,Thu Apr 25 01:17:23 +0000 2019,1121221634831077376,Twitter novo kkkkk 🤦🏼‍♀️,🤦(1)♀(1),Não-PRU,,,Twitter for iPhone
1296,Thu Apr 25 00:20:06 +0000 2019,1121207218219692032,Twitter novo 😊,😊(1),Não-PRU,,,Twitter for Android
1297,Wed Apr 24 23:57:14 +0000 2019,1121201461873004544,Curti esse Twitter novo! ♥,♥(1),Não-PRU,,,Twitter Web App
1298,Wed Apr 24 23:46:37 +0000 2019,1121198793846816768,"Twitter Novo galeresss, pois o antigo foi bloq mas logo logo estarei com ele novamente pois estou tomando as devidas providências. ☺",☺(1),Não-PRU,,,Twitter for Android
1299,Wed Apr 24 23:28:02 +0000 2019,1121194116002516992,"twitter novo , seguem aí  😡😡 {URL}",😡(2),Não-PRU,,,Twitter Web App
1300,Wed Apr 24 20:29:31 +0000 2019,1121149188874620931,que ódio ter que fazer Twitter novo 😭,😭(1),Não-PRU,,,Twitter for Android
1301,Wed Apr 24 19:26:17 +0000 2019,1121133276876484608,Twitter novo 😘,😘(1),Não-PRU,,,Twitter for Android
1302,Wed Apr 24 19:00:01 +0000 2019,1121126665155940366,Twitter novo 😎,😎(1),Não-PRU,,,Twitter for Android
1303,Wed Apr 24 18:08:00 +0000 2019,1121113575299399680,Twitter novo ✌️😁,✌(1)😁(1),Não-PRU,,,Twitter for Android
1304,Wed Apr 24 16:50:41 +0000 2019,1121094116782346242,perdidinha com neste twitter novo rs 😂,😂(1),PRU,Dúvida,Neutra,Twitter Web App
1305,Wed Apr 24 16:44:57 +0000 2019,1121092674633785346,Twitter novo que horrivel 😭,😭(1),Não-PRU,,,Twitter for Android
1306,Wed Apr 24 15:34:48 +0000 2019,1121075021122813953,Twitter novo ☑️ vamos ver se eu me adapto a essa merda de novo 🙄,☑(1)🙄(1),PRU,Crítica,Negativa,Twitter for iPhone
1307,Wed Apr 24 14:13:55 +0000 2019,1121054665523769346,Rapaziada twitter novo em ✌️,✌(1),Não-PRU,,,Twitter for Android
1308,Wed Apr 24 12:36:12 +0000 2019,1121030074277429248,"Qq é esse twitter novo, não curti 🙅🏾‍♀️",🙅(1)♀(1),PRU,Crítica,Negativa,Twitter Web App
1309,Wed Apr 24 11:55:18 +0000 2019,1121019782567006208,{User} {User} {User} ESSE TWITTER NOVO EH HORRÍVEL 😭 parece que eles pensaram “hm como podemos fazer par… {URL},😭(1),PRU,Crítica,Negativa,Twitter for iPhone
1310,Wed Apr 24 11:11:36 +0000 2019,1121008787522031616,Fiz um twitter novo ontem 😁,😁(1),Não-PRU,,,Twitter for Android
1311,Wed Apr 24 09:26:54 +0000 2019,1120982437083918341,não dá pra abrir links do youtube no twitter novo 😹😹😹😹😹😹😹😹😹😹😹,😹(11),PRU,Crítica,Negativa,Twitter Web App
1312,Wed Apr 24 04:27:14 +0000 2019,1120907025435844609,"A primeira imagem desse Twitter novo, não podia ser ninguém além desse anjo maravilhoso 😍😍😍 {URL}",😍(3),Não-PRU,,,Twitter for Android
1313,Wed Apr 24 04:26:14 +0000 2019,1120906771437060096,Twitter novo rapaziada 🤙🏾🤟🏾,🤙(1)🤟(1),Não-PRU,,,Twitter for Android
1314,Wed Apr 24 03:01:23 +0000 2019,1120885420307435521,"Twitter novo, quem puder me dar uma forcinha ❤️🌹 #QuartaDetremuraSDV",❤(1)🌹(1),Não-PRU,,,Twitter for iPhone
1315,Wed Apr 24 02:45:25 +0000 2019,1120881398414553088,"twitter novo é chato, quero minha conta antiga 😭 hello {User} me ajuda",😭(1),Não-PRU,,,Twitter for iPhone
1316,Wed Apr 24 02:36:50 +0000 2019,1120879239803363328,Gente mudei por isso fiz um twitter novo😘😂 {URL},😘(1)😂(1),Não-PRU,,,Twitter for iPhone
1317,Wed Apr 24 02:29:58 +0000 2019,1120877510458314754,"não curtir esse twitter novo, sou mt mais o antigo, modo noturno  🌚",🌚(1),PRU,Crítica,Negativa,Twitter Web Client
1318,Wed Apr 24 02:26:47 +0000 2019,1120876712424665090,"Alô, mãe? Sai num print do Tecnoblog! 😂😂😂 {URL}",😂(3),Não-PRU,,,Twitter Web Client
1319,Wed Apr 24 02:20:42 +0000 2019,1120875179373146114,{User} Um Twitter novo todo dia 😂,😂(1),Não-PRU,,,Twitter for iPhone
1320,Wed Apr 24 01:42:02 +0000 2019,1120865448575348736,Twitter novo! ⚠⚠⚠⚠⚠,⚠(5),Não-PRU,,,Twitter for Android
1321,Wed Apr 24 01:33:13 +0000 2019,1120863228844756992,Twitter novo galera!! segue aí ✨,✨(1),Não-PRU,,,Twitter for iPhone
1322,Wed Apr 24 01:20:39 +0000 2019,1120860069799911424,Twitter novo é podre 🤢,🤢(1),PRU,Crítica,Negativa,Twitter for Android
1323,Wed Apr 24 01:06:46 +0000 2019,1120856572538888193,⚠️ Twitter novo ⚠️,⚠(2),Não-PRU,,,Twitter for Android
1324,Wed Apr 24 00:58:25 +0000 2019,1120854471251304449,"Gente, Twitter novo {User} Segue lá ❤",❤(1),Não-PRU,,,Twitter for Android
1325,Wed Apr 24 00:12:49 +0000 2019,1120842999263584256,"Twitter novo , perdi a senha do outro 🙁",🙁(1),Não-PRU,,,Twitter Web App
1326,Wed Apr 24 00:08:00 +0000 2019,1120841784521887746,twitter novo ficou ó👌u m a b o s t a,👌(1),PRU,Crítica,Negativa,Twitter Web App
1327,Tue Apr 23 23:43:18 +0000 2019,1120835567640616960,Twitter Novo ❤,❤(1),Não-PRU,,,Twitter for Android
1328,Tue Apr 23 22:37:57 +0000 2019,1120819121749405696,Que twitter novo é esse? 🤔🤨,🤔(1)🤨(1),Não-PRU,,,Twitter Web App
1329,Tue Apr 23 22:19:08 +0000 2019,1120814386183114752,e esse twitter novo 🤔,🤔(1),PRU,Dúvida,Negativa,Twitter Web App
1330,Tue Apr 23 22:15:49 +0000 2019,1120813552955219968,Fazer twitter novo é ruim porq nem tem movimento🤔,🤔(1),Não-PRU,,,Twitter for Android
1331,Tue Apr 23 21:57:58 +0000 2019,1120809061853933570,Twitter novo rapaziada 😎,😎(1),Não-PRU,,,Twitter for Android
1332,Tue Apr 23 19:54:27 +0000 2019,1120777979083272193,Twitter novo ❤,❤(1),Não-PRU,,,Twitter for Android
1333,Tue Apr 23 19:28:45 +0000 2019,1120771508719312897,Twitter  novo😇😊 {URL},😇(1)😊(1),Não-PRU,,,Twitter Web App
1334,Tue Apr 23 19:08:53 +0000 2019,1120766509142478848,"Twitter novo gente, seguem esse 🖤",🖤(1),Não-PRU,,,Twitter for Android
1335,Tue Apr 23 17:52:59 +0000 2019,1120747411226419201,"Meu email foi hackeado 😕Agora é novo twitter, novo email, td novo#myfirstTweet",😕(1),Não-PRU,,,Twitter Web Client
1336,Thu May 02 13:09:05 +0000 2019,1123937452882837505,Não sei o problema do meu Twitter ficar saindo toda hora do modo noturno 🤦🏻‍♀️🤦🏻‍♀️,🤦(2)♀(2),Não-PRU,,,Twitter for iPhone
1337,Thu May 02 10:09:56 +0000 2019,1123892370821582855,{User} Alguns torcedores do galo torcem pro time perder só pra vim no twitter ficar detonando o time ! Chupa cornetas !🤙,🤙(1),Não-PRU,,,Twitter for Android
1338,Wed May 01 13:26:37 +0000 2019,1123579478565953539,"{User} Porque não precisam me pedir opinião para que eu possa expor ela 😉 Minha opinião, minha conta no Twitt… {URL}",😉(1),Não-PRU,,,Twitter for Android
1339,Wed May 01 01:43:33 +0000 2019,1123402547966951424,venho através de Twitter dar parabéns a {User} pelas belas camisas do Timão para esta temporada. Corinthians é Preto e branco poha! 🏁🏁🏁,🏁(3),Não-PRU,,,Twitter for iPhone
1340,Tue Apr 30 12:57:02 +0000 2019,1123209647815569409,{User} É uma das maiores diversões que tenho aqui no Twitter.Dar BLOCK em esquerdopatas!Só hoje já foram três!🤣🤣🤣🤣,🤣(4),Não-PRU,,,Twitter for Android
1341,Mon Apr 29 01:20:22 +0000 2019,1122671937627488256,{User} Só quero saber como q faz pro Twitter ficar preto 🤔,🤔(1),PRU,Dúvida,Neutra,Twitter for Android
1342,Sun Apr 28 22:37:24 +0000 2019,1122630923940503553,negxskkkkkkk fui tentar fazer o twitter ficar pretoficou lindo viu 😍😍😍😍 {URL},😍(4),PRU,Elogio,Positiva,Twitter for Android
1343,Wed May 08 00:47:13 +0000 2019,1125925086412836865,"Aprendir mecher no twitter  , Facebook nn tem mas graça direito , so os memes 😅",😅(1),PRU,Comparação,Neutra,Twitter for Android
1344,Wed May 08 00:23:16 +0000 2019,1125919057247637505,uma vez no ano eu venho aqui no twitter postar foto sorrindo 😁😁😁😁 {URL},😁(4),Não-PRU,,,Twitter for Android
1345,Tue May 07 21:01:12 +0000 2019,1125868206512660485,"{User} cara, e mt chato, aqui no twitter/facebook já é uma falação, aí chega na faculdade mesma bosta 🤬",🤬(1),Não-PRU,,,Twitter for iPhone
1346,Tue May 07 16:08:06 +0000 2019,1125794444450697217,"{User} Por isso criança não tem acesso a Twitter, Facebook, Instagram 😘",😘(1),Não-PRU,,,Twitter for Android
1347,Mon May 06 01:07:03 +0000 2019,1125205300334796800,SEGUINOS EN NUESTRA REDES SOCIALES⬇️⬇️⬇️⬇️-Instagram:::::::{URL}=ig_profile_share&amp;igshid=1hc… {URL},⬇(4),Não-PRU,,,Twitter for Android
1348,Sun May 05 17:27:52 +0000 2019,1125089742704521216,Esse povo do twitter( rede social inteira) não sabe como funciona a vida real n e possível 🙄Pra tu ter as melhores… {URL},🙄(1),Não-PRU,,,Twitter for Android
1349,Sun May 05 11:09:18 +0000 2019,1124994473895845889,{User} Na minha humilde opinião esse Carluxo fuma um dos bons e depois vai no Twitter postar. Só pode estar chapado. 🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊🍊,🍊(12),Não-PRU,,,Twitter for Android
1350,Sat May 04 23:42:53 +0000 2019,1124821729539444737,"📱🚫📱🚫 AVISO IMPORTANTE 🚫📱🚫📱📱🚫📱🚫 NÃO RESPONDEMOS A SMS 🚫📱🚫📱OS NOSSOS MEIOS DE COMUNICAÇÃO SAO CHAMADAS, TWITTER, FA… {URL}",📱(8)🚫(8),Não-PRU,,,Twitter Web App
1351,Sat May 04 18:00:47 +0000 2019,1124735639608492033,"Everaldo posso te seguir no insta, Twitter, Facebook, manda o zap pra colocar no grupo aqui ???⚫️⚪️👊🏻",⚫(1)⚪(1)👊(1),Não-PRU,,,Twitter for iPhone
1352,Sat May 04 12:36:12 +0000 2019,1124653954661605381,"é nóia no twitter, facebook, instagram.TA VIRANDO BAGUNÇA ISSO AQUI HEIN...goxxxto 👹",👹(1),Não-PRU,,,Twitter for iPhone
1353,Sat May 04 11:40:40 +0000 2019,1124639980775727104,"Comunicate con {User}📻Por 📞 5371-4600En redes -Twitter, Facebook e Instagram- nos encontras como… {URL}",📻(1)📞(1),Não-PRU,,,Twitter Web Client
1354,Sat May 04 11:10:39 +0000 2019,1124632426158927872,"👉Comunicate con {User}📻Por 📞 5371-4600En redes -Twitter, Facebook e Instagram- nos encontras como… {URL}",👉(1)📻(1)📞(1),Não-PRU,,,Twitter Web Client
1355,Sat May 04 03:40:12 +0000 2019,1124519065224187904,FUTSAL ⚽ | Comercial Futsal Ribeirão vence a segunda na Copa Ribeirão🔶 Leia em {URL}🔶 Foto: Re… {URL},⚽(1)🔶(2),Não-PRU,,,Twitter for Android
1356,Sat May 04 02:41:59 +0000 2019,1124504415686332418,"Ele escreve pros Bolsominios! Precisa falar mais alguma coisa😂😅🤣O ""carluxo"" {User} fez um curso especif… {URL}",😂(1)😅(1)🤣(1),Não-PRU,,,Twitter Web Client
1357,Fri May 03 21:56:44 +0000 2019,1124432627551887360,"Se Twitter, Facebook e whatsapp  não fossem inclinados à esquerda, a esta altura já teríamos o emoji de templário 😏😏😏",😏(3),Não-PRU,,,Twitter Web App
1358,Fri May 03 21:05:50 +0000 2019,1124419821578465280,"Queria poder administrar o Twitter, Facebook, Instagram e o Whatsapp Assim como esses pessoas conseguem 🤔",🤔(1),Não-PRU,,,Twitter for Android
1359,Fri May 03 18:09:28 +0000 2019,1124375437067661312,"Curtam, compartilhem e nos ajude a ir mais proximo de vcs! S2 :3 😘❤Twitter: {URL} {URL}",😘(1)❤(1),Não-PRU,,,Twitter for Android
1360,Thu May 02 20:28:51 +0000 2019,1124048123234594820,Querem acabar com sua #aposentadoria  #previdência....#instagram #twitter #facebook 👎👎👎👎👎👎👎👎👎👎 {URL},👎(10),Não-PRU,,,Twitter for Android
1361,Thu May 02 18:43:54 +0000 2019,1124021713744932864,"Parabens pra moça que ostenta no twitter, facebook, instagram e colatina. Hoje faz um ano que você me deve 50,00 ❤️❤️❤️❤️👏🏻👏🏻",❤(4)👏(2),Não-PRU,,,Twitter for iPhone
1362,Thu May 02 17:55:40 +0000 2019,1124009573763952640,Eu público monte de coisa o zap Twitter Facebook  Instagram mas nd quer dizer q e sobre mim ou indireta pra alguem 😒,😒(1),Não-PRU,,,Twitter for Android
1363,Thu May 02 14:37:20 +0000 2019,1123959665166098437,FUTSAL ⚽ | Comercial Futsal enfrenta o Morada pela Copa Ribeirão🔶 Leia em {URL}🔶 Foto: Rafael… {URL},⚽(1)🔶(2),Não-PRU,,,Twitter for Android
1364,Thu May 02 05:03:20 +0000 2019,1123815212971438080,{User} {User} O el Insta/twitter/facebook 🙊🙊,🙊(2),Não-PRU,,,Twitter for Android
1365,Thu May 02 01:25:47 +0000 2019,1123760461382602753,Facebook messenger twitter facebook messenger twitterFacebook messenger twitter......Ano naaaa ganito nalang ba😂,😂(1),Não-PRU,,,Twitter for Android
1366,Wed May 01 21:52:42 +0000 2019,1123706840485957632,"sinceramente eu não poderia estar mais feliz no instagram tirando os like das fotosagora tira do twitter, facebook tbm 🙏🏻",🙏(1),PRU,Comparação,Neutra,Twitter for iPhone
1367,Wed May 01 13:13:36 +0000 2019,1123576201254191104,"📲 | Liam atualizou Twitter, Facebook e Instagram com sua foto da campanha para a {User} {URL}",📲(1),Não-PRU,,,Twitter for iPhone
1368,Wed May 01 12:42:00 +0000 2019,1123568252511248384,"{User} E foi assim que o Twitter, Facebook e o WhatsApp ganharam as eleições 😂😂😂",😂(3),Não-PRU,,,Twitter for iPhone
1369,Wed May 01 03:40:17 +0000 2019,1123431923827781633,"{User} estou só de olho em seu Twitter, legal.👍",👍(1),Não-PRU,,,Twitter for Android
1370,Tue Apr 30 02:46:54 +0000 2019,1123056100914466817,"NÃO IGNOREM ESSE TWEET POR FAVOR!!!!🔰Comentem com a # - ficar em casa ou sair - frio ou calor - filme, desenh… {URL}",🔰(1),Não-PRU,,,Twitter for Android
1371,Mon Apr 29 23:31:39 +0000 2019,1123006963024125953,"Agora além do Twitter, Facebook, temos o whatsapp espalhando os spoilers! 👌",👌(1),Não-PRU,,,Twitter for iPhone
1372,Mon Apr 29 15:47:33 +0000 2019,1122890168468484096,⚠️É PRO TCC NAMORAL⚠️Qual vocês acham mais interessante:1.“Como a crise de corrupção do PT favoreceu o fortalecim… {URL},⚠(2),Não-PRU,,,Twitter for iPhone
1373,Mon Apr 29 14:30:57 +0000 2019,1122870894194507777,🙋🏽‍♂️✳️☀️❇️ATT LEGÍTIMA DIREITA DOS BOLSONAROS.SE CONTAR E SOMARMOS  OS SEGUIDORES DE {User}… {URL},🙋(1)♂(1)✳(1)☀(1)❇(1),Não-PRU,,,Twitter for Android
1374,Mon Apr 29 13:38:48 +0000 2019,1122857771144290311,{User} {User} {User} Twitter: Rede SocialTweet: Postagem do Twitter. Exemplo: Fulano de tal fez um Tweet.😉,😉(1),Não-PRU,,,Twitter for Android
